City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Narsaq,41,GL,1630120133,65,60.9167,-46.05,41.22,2.93
Rikitea,7,PF,1630120133,81,-23.1203,-134.9692,73.9,18.41
Provideniya,100,RU,1630120134,87,64.3833,-173.3,47.07,19.19
Brigantine,75,US,1630120045,91,39.4101,-74.3646,79.02,3.44
Butaritari,18,KI,1630120134,74,3.0707,172.7902,82.98,9.15
São João da Barra,63,BR,1630119910,88,-21.6403,-41.0511,69.35,9.71
Geraldton,2,AU,1630120135,63,-28.7667,114.6,64.81,12.66
Pangkalanbuun,43,ID,1630120135,67,-2.6833,111.6167,85.33,6.33
Saskylakh,100,RU,1630120135,82,71.9167,114.0833,37.17,19.89
Pangody,76,RU,1630120136,65,65.85,74.4859,43.83,13.15
San Patricio,49,US,1630120136,71,28.017,-97.5169,84.06,7.99
Hithadhoo,32,MV,1630119938,71,-0.6,73.0833,82.87,13.15
Port Elizabeth,40,ZA,1630119964,58,-33.918,25.5701,42.1,14.16
Barrow,90,US,1630120037,87,71.2906,-156.7887,39.22,13.8
Marsaxlokk,0,MT,1630120137,83,35.8419,14.5431,79.09,6.91
Port Alfred,81,ZA,1630120137,63,-33.5906,26.891,50.49,19.06
Gweta,15,BW,1630120137,31,-20.1833,25.2333,65.97,5.26
Gold Coast,0,AU,1630120050,34,-28.0,153.4333,78.24,3.0
Balud,98,PH,1630120138,70,10.1476,123.6953,85.21,5.23
Mackay,8,AU,1630120138,69,-21.15,149.2,77.04,8.25
Rome,1,US,1630120138,78,43.2128,-75.4557,71.46,3.44
Šalčininkai,98,LT,1630120139,94,54.3,25.3833,53.69,4.63
Saint-Philippe,97,RE,1630120139,92,-21.3585,55.7679,69.39,21.16
Les Cayes,91,HT,1630120139,83,18.2,-73.75,77.99,3.29
Jamestown,1,US,1630120091,95,42.097,-79.2353,72.72,1.01
Hobart,75,AU,1630120140,70,-42.8794,147.3294,53.26,1.01
Vanimo,15,PG,1630120140,63,-2.6741,141.3028,86.85,9.26
Kapaa,1,US,1630120140,67,22.0752,-159.319,84.18,1.99
Khani,0,GE,1630120141,59,41.9563,42.9566,62.17,5.86
Ancud,68,CL,1630120141,88,-41.8697,-73.8203,46.42,8.12
Rocha,1,UY,1630120141,82,-34.4833,-54.3333,41.09,3.31
Kohat,0,PK,1630119959,57,33.582,71.4493,80.67,6.85
Zhigansk,99,RU,1630120142,68,66.7697,123.3711,43.11,6.46
Udachny,90,RU,1630120142,54,66.4167,112.4,60.39,21.85
Tigil',98,RU,1630120142,79,57.8,158.6667,61.99,4.03
Bluff,92,NZ,1630120143,78,-46.6,168.3333,50.81,10.38
Havre-St-Pierre,4,CA,1630120143,65,50.2334,-63.5986,53.8,12.88
Albany,96,US,1630119930,72,42.6001,-73.9662,72.3,4.18
Paamiut,20,GL,1630120143,77,61.994,-49.6678,44.1,2.98
Qaanaaq,100,GL,1630120144,98,77.484,-69.3632,35.96,2.89
Sobolevo,100,RU,1630120144,87,54.4299,31.8996,56.64,9.24
Atuona,18,PF,1630120144,73,-9.8,-139.0333,78.28,18.01
Huarmey,91,PE,1630120145,86,-10.0681,-78.1522,62.74,9.53
Castro,100,BR,1630120145,98,-24.7911,-50.0119,53.69,7.65
Henties Bay,0,NA,1630120145,74,-22.116,14.2845,46.85,13.94
Safi,0,MA,1630120146,84,32.2994,-9.2372,67.77,10.42
Lavrentiya,100,RU,1630120146,84,65.5833,-171.0,45.05,25.1
Beringovskiy,96,RU,1630120146,87,63.05,179.3167,51.76,12.28
Mataura,74,NZ,1630120147,65,-46.1927,168.8643,50.49,2.37
Avarua,20,CK,1630120147,49,-21.2078,-159.775,71.65,6.91
Gibara,100,CU,1630120147,78,21.1097,-76.1317,78.12,4.52
Ponta Delgada,20,PT,1630120148,83,37.7333,-25.6667,68.72,5.75
Pevek,59,RU,1630120148,76,69.7008,170.3133,35.74,21.65
Saint Paul Harbor,0,US,1630120148,50,57.79,-152.4072,53.55,22.59
São Filipe,42,CV,1630120149,82,14.8961,-24.4956,77.83,7.9
San Policarpo,100,PH,1630120149,83,12.1791,125.5072,82.27,4.94
Talnakh,100,RU,1630120149,99,69.4865,88.3972,37.49,9.78
Thompson,97,CA,1630120150,60,55.7435,-97.8558,56.8,4.43
Avera,41,US,1630120150,76,33.194,-82.5271,79.72,6.71
Wajid,11,SO,1630120150,74,3.8093,43.2471,69.58,15.97
Naze,73,JP,1630120151,70,28.3667,129.4833,80.29,5.53
Antofagasta,27,CL,1630120151,78,-23.65,-70.4,56.48,6.2
Cherskiy,17,RU,1630120151,48,68.75,161.3,53.22,12.41
Bandundu Province,95,CD,1630120152,77,-3.3167,17.3667,76.24,3.4
Kotdwāra,96,IN,1630120152,89,29.75,78.5333,77.83,3.85
Bathsheba,40,BB,1630120152,83,13.2167,-59.5167,83.01,20.71
Gisborne,73,NZ,1630120152,66,-38.6533,178.0042,66.94,12.1
East London,92,ZA,1630120153,61,-33.0153,27.9116,52.3,15.95
Yingkou,0,CN,1630120153,47,40.6648,122.2283,76.98,8.25
Flinders,100,AU,1630120153,67,-34.5833,150.8552,62.8,10.51
Aketi,97,CD,1630120154,98,2.7388,23.7833,68.9,1.1
Tiksi,100,RU,1630120154,86,71.6872,128.8694,37.53,4.12
Gravdal,99,NO,1630120154,87,68.1214,13.5031,53.1,4.23
Mahébourg,96,MU,1630120155,89,-20.4081,57.7,73.26,23.62
Tiznit Province,1,MA,1630120155,37,29.5833,-9.5,72.05,2.3
Rock Springs,1,US,1630120155,22,41.5875,-109.2029,68.05,1.99
Vilyuysk,74,RU,1630120156,44,63.7553,121.6247,51.33,4.81
Retalhuleu,99,GT,1630120156,96,14.5333,-91.6833,79.68,2.91
Kimbe,56,PG,1630120156,76,-5.5502,150.1429,84.34,1.28
Sigli,86,ID,1630120157,62,5.3848,95.9609,84.0,1.23
Clyde River,88,CA,1630120157,93,70.4692,-68.5914,33.28,2.82
Aswān,0,EG,1630120157,27,24.0934,32.907,85.33,10.42
Tyazhinskiy,0,RU,1630120158,53,56.116,88.524,67.33,4.74
Bodrum,0,TR,1630120158,82,37.0383,27.4292,76.48,4.32
Batagay-Alyta,100,RU,1630120158,87,67.8006,130.4114,39.7,3.62
Gouré,89,NE,1630120158,49,13.9835,10.2704,84.02,5.5
Nowa Sól,100,PL,1630120159,92,51.8033,15.717,54.99,2.13
Longyearbyen,20,SJ,1630120159,87,78.2186,15.6401,37.24,5.75
Santa Rosa,98,PH,1630120159,68,14.3122,121.1114,90.09,9.71
Nicolás Bravo,66,MX,1630120160,83,18.45,-88.9167,76.93,0.4
Hasaki,1,JP,1630120160,72,35.7333,140.8333,90.0,6.58
Kurayoshi,52,JP,1630120160,81,35.4333,133.8167,82.81,10.02
Natitingou,100,BJ,1630120161,91,10.3042,1.3796,69.31,2.33
Heraclea,0,TR,1630120161,34,37.5133,34.0467,68.45,1.59
Nantucket,1,US,1630120161,85,41.2835,-70.0995,76.01,5.75
Vila Velha,20,BR,1630120162,88,-20.3297,-40.2925,69.75,2.3
Sitka,90,US,1630120162,82,57.0531,-135.33,57.09,8.05
Fort Nelson,89,CA,1630120162,82,58.8053,-122.7002,56.97,3.04
Gemeente Wageningen,75,NL,1630120163,93,51.9667,5.6667,60.85,6.91
Bara,100,NG,1630120163,92,10.3744,10.7288,73.83,4.25
Coyhaique,0,CL,1630120163,93,-45.5752,-72.0662,37.35,4.61
Porto-Novo,100,BJ,1630120164,94,6.4965,2.6036,74.44,3.94
Codrington,100,AU,1630120164,58,-38.2667,141.9667,60.3,17.05
Airai,82,TL,1630120164,33,-8.9266,125.4092,76.69,5.23
Bendigo,16,AU,1630120165,48,-36.7667,144.2833,57.63,5.01
Hong Kong,41,HK,1630119849,70,22.2855,114.1577,87.96,3.0
Saint-Augustin,100,CA,1630120165,71,51.226,-58.6502,52.97,24.27
Tura,100,IN,1630120165,96,25.5198,90.2201,73.27,2.62
Ati,100,TD,1630120166,49,13.2154,18.3353,86.9,4.97
Torbay,100,CA,1630119932,95,47.6666,-52.7314,67.57,1.99
Spring Valley,1,US,1630119935,13,36.108,-115.245,101.59,4.0
Arraial do Cabo,100,BR,1630120166,88,-22.9661,-42.0278,70.3,9.17
Port Lincoln,18,AU,1630119970,57,-34.7333,135.8667,56.98,21.36
Camaná,97,PE,1630120167,84,-16.6228,-72.7111,60.17,8.86
Ketchikan,90,US,1630120167,88,55.3422,-131.6461,55.87,4.61
Nova Varoš,56,RS,1630120167,97,43.4606,19.8114,48.34,1.9
Ozinki,100,RU,1630120168,40,51.1786,49.6769,61.83,10.71
Alta Floresta,26,BR,1630120168,40,-9.8756,-56.0861,78.31,0.31
Chokurdakh,54,RU,1630120168,46,70.6333,147.9167,47.14,13.56
Troitsko-Pechorsk,50,RU,1630120169,77,62.7084,56.1964,43.86,4.61
Lebu,100,CL,1630120169,95,-37.6167,-73.65,49.98,22.48
Ilulissat,75,GL,1630120169,81,69.2167,-51.1,39.22,6.91
Nkhata Bay,24,MW,1630120170,51,-11.6066,34.2907,69.94,3.58
Tavira,0,PT,1630120170,76,37.1273,-7.6486,67.87,5.48
Broken Hill,76,AU,1630120170,22,-31.95,141.4333,67.75,23.58
Ixtapa,100,MX,1630120171,91,20.7,-105.2,78.22,1.01
Wanning,97,CN,1630120171,67,18.8003,110.3967,86.29,5.39
Puerto Quijarro,74,BO,1630120171,66,-17.7833,-57.7667,73.15,6.4
Nanortalik,97,GL,1630120171,91,60.1432,-45.2371,40.98,8.12
Cervo,92,ES,1630120172,85,43.6702,-7.4101,66.43,9.82
Beni,99,CD,1630120172,89,0.5,29.4667,61.36,1.41
Grindavik,90,IS,1630120172,93,63.8424,-22.4338,50.47,13.8
Plouzané,0,FR,1630120173,94,48.3833,-4.6167,55.72,5.75
Port-Gentil,95,GA,1630120173,86,-0.7193,8.7815,75.04,13.42
Sabha,0,LY,1630120173,20,27.0377,14.4283,81.48,9.24
Bulawayo,0,ZW,1630120174,38,-20.15,28.5833,58.82,6.35
Sur,80,OM,1630120174,52,22.5667,59.5289,87.39,6.46
Jumla,100,NP,1630120174,97,29.2747,82.1838,63.28,2.13
Maragogi,70,BR,1630120175,77,-9.0122,-35.2225,74.26,9.1
Muros,6,ES,1630120175,92,42.7762,-9.0603,64.24,0.76
George Town,20,MY,1630119963,78,5.4112,100.3354,85.93,1.99
Constitución,100,CL,1630119956,87,-35.3333,-72.4167,48.63,8.59
Katsuura,1,JP,1630120175,70,35.1333,140.3,87.91,6.35
Praia da Vitória,58,PT,1630120176,92,38.7333,-27.0667,69.76,8.05
Caborca,63,MX,1630120176,42,30.5838,-111.101,87.21,3.94
Bambous Virieux,97,MU,1630120176,90,-20.3428,57.7575,73.22,23.0
Dumas,1,US,1630120177,44,35.8656,-101.9732,81.82,9.22
Chitungwiza,0,ZW,1630120177,49,-18.0127,31.0756,56.44,6.69
Seoul,87,KR,1630119907,68,37.5683,126.9778,79.21,3.67
Lagoa,93,PT,1630120177,83,39.05,-27.9833,69.48,7.94
Constantine,1,DZ,1630120178,36,36.365,6.6147,75.24,1.99
Okato,72,NZ,1630120178,77,-39.2,173.8833,60.42,6.87
Laas,93,IT,1630120178,90,46.6166,10.7002,52.63,5.59
Sinnamary,96,GF,1630120179,90,5.3833,-52.95,78.08,11.65
Alekseyevsk,52,RU,1630120179,39,57.8406,108.3492,68.45,2.91
Det Udom,100,TH,1630120179,73,14.906,105.0784,82.17,5.26
Onega,28,RU,1630120180,81,63.9061,38.1404,43.39,4.81
Kumul,0,CN,1630120180,19,42.8,93.45,82.27,12.03
Mobaye,93,CF,1630120180,97,4.319,21.1786,69.66,0.87
Morondava,1,MG,1630120181,89,-20.2833,44.2833,68.27,9.37
Tanout,74,NE,1630120181,40,14.9709,8.8879,87.26,5.91
Sept-Îles,0,CA,1630120024,64,50.2001,-66.3821,58.05,1.99
Khanbari,100,NP,1630120181,96,27.3747,87.2039,70.88,1.3
Ust-Kuyga,100,RU,1630120182,95,70.0167,135.6,36.0,6.02
Manggar,97,ID,1630120182,72,-2.8833,108.2667,82.89,12.95
Caravelas,0,BR,1630120182,85,-17.7125,-39.2481,70.21,5.28
Lorengau,86,PG,1630120183,72,-2.0226,147.2712,84.24,9.6
Ponta do Sol,7,PT,1630120183,74,32.6667,-17.1,73.71,2.62
New Norfolk,100,AU,1630120183,51,-42.7826,147.0587,52.92,2.59
Koygorodok,29,RU,1630120184,77,60.445,50.9968,42.46,3.24
Marsh Harbour,100,BS,1630119931,78,26.5412,-77.0636,82.99,15.9
Arrondissement de Thionville,63,FR,1630120184,89,49.3333,6.3333,55.49,6.78
Broome,90,US,1630120184,88,42.2506,-75.833,73.6,4.61
Lingao,22,CN,1630120185,61,19.9103,109.6859,88.68,8.86
Itoman,40,JP,1630120185,70,26.1247,127.6694,89.98,9.22
Ceres,1,US,1630120163,46,37.5949,-120.9577,91.98,4.61
Lüderitz,0,NA,1630120185,63,-26.6481,15.1594,48.78,10.02
Port Blair,90,IN,1630120186,88,11.6667,92.75,77.04,1.14
Aykhal,89,RU,1630120186,61,66.0,111.5,56.1,22.93
Lisala,91,CD,1630120186,98,2.15,21.5167,68.47,0.65
Iqaluit,99,CA,1630120187,76,63.7506,-68.5145,42.67,10.87
Mudgee,3,AU,1630120187,44,-32.5943,149.5871,56.62,8.5
Ribeira Grande,99,PT,1630120187,85,38.5167,-28.7,71.26,11.1
Khatanga,100,RU,1630120188,92,71.9667,102.5,37.11,14.41
Fortuna,1,US,1630120188,69,40.5982,-124.1573,61.32,1.01
Mount Isa,0,AU,1630120188,9,-20.7333,139.5,82.17,4.61
Abu Dhabi,51,AE,1630120189,70,24.4667,54.3667,91.51,5.75
Lipari,0,IT,1630120189,61,38.4674,14.954,76.95,7.94
Saint-Joseph,94,RE,1630120189,90,-21.3667,55.6167,68.38,20.6
Nishihara,40,JP,1630120190,70,26.1842,127.7558,89.26,9.22
Saint-Leu,84,RE,1630120190,81,-21.15,55.2833,68.86,9.51
Inhambane,6,MZ,1630120190,89,-23.865,35.3833,68.9,11.05
Port Keats,10,AU,1630120191,20,-14.25,129.55,93.02,3.44
Kindu,92,CD,1630120191,84,-2.95,25.95,70.0,1.7
Alamogordo,1,US,1630120047,59,32.8995,-105.9603,78.15,8.05
Cabo San Lucas,8,MX,1630120191,78,22.8909,-109.9124,87.62,1.99
Marystown,95,CA,1630119986,84,47.1666,-55.1483,59.65,18.52
Dalby,3,AU,1630120192,27,-27.1833,151.2667,71.49,7.85
Husavik,63,IS,1630120192,78,66.0449,-17.3389,55.15,8.21
Palu,97,ID,1630120067,91,-0.8917,119.8707,79.03,0.87
Taoudenni,35,ML,1630120192,27,22.6783,-3.9836,93.0,9.28
Klaksvík,100,FO,1630120193,90,62.2266,-6.589,50.92,12.1
Phalodi,79,IN,1630120193,61,27.1333,72.3667,83.41,14.65
Ouadda,100,CF,1630120193,94,8.0777,22.4007,69.1,0.51
Santa Cruz de Tenerife,0,ES,1630120194,63,28.4682,-16.2546,74.8,1.99
Harper,55,LR,1630120194,87,4.375,-7.7169,76.37,8.93
Bonthe,43,SL,1630120194,88,7.5264,-12.505,76.78,4.0
Malbork,96,PL,1630120195,90,54.0359,19.0266,56.95,3.11
Tūkrah,1,LY,1630120195,50,32.5341,20.5791,80.6,1.21
Vaitape,16,PF,1630120195,74,-16.5167,-151.75,79.11,11.25
San Andrés,20,CO,1630120195,78,12.5847,-81.7006,82.42,4.61
Bukama,98,CD,1630120196,46,-9.2,25.85,77.7,2.77
Pachino,0,IT,1630120196,70,36.7186,15.0907,66.24,3.4
Paciran,55,ID,1630120196,56,-6.8767,112.3761,85.91,4.23
Hofn,100,IS,1630120197,94,64.2539,-15.2082,53.98,12.73
Fethiye,0,TR,1630120197,46,36.6217,29.1164,69.67,4.09
Jamame,8,SO,1630120197,76,0.0722,42.7506,73.35,10.49
Gayéri,99,BF,1630120198,86,12.6497,0.4931,76.15,6.24
Rio Grande,2,BR,1630120198,72,-32.035,-52.0986,54.48,5.7
Progreso,0,MX,1630120198,87,21.2833,-89.6667,76.1,6.71
Urucará,77,BR,1630120199,97,-2.5364,-57.76,72.59,2.15
Faanui,16,PF,1630120199,74,-16.4833,-151.75,79.12,11.32
Carbonia,15,IT,1630120199,94,39.1672,8.5222,72.99,4.07
Ahipara,99,NZ,1630120200,89,-35.1667,173.1667,62.94,8.32
Isangel,9,VU,1630120200,62,-19.55,169.2667,77.38,12.26
Chara,91,RU,1630120200,62,56.9064,118.2631,54.14,2.55
Anito,100,PH,1630120201,74,12.4497,125.2886,85.35,5.99
Kahului,40,US,1630120050,59,20.8947,-156.47,84.22,20.71
Serebryanyy Bor,94,RU,1630120201,58,56.8,124.8,45.75,11.99
Monte Patria,100,CL,1630119953,52,-30.6919,-70.9467,59.52,2.24
Xining,11,CN,1630120201,55,36.6167,101.7667,59.05,2.46
Deniliquin,34,AU,1630120202,34,-35.5333,144.9667,62.01,9.73
Greystones,0,IE,1630120202,96,53.1408,-6.0631,53.78,3.27
Lynnwood,1,US,1630120119,74,47.8209,-122.3151,64.42,1.01
Tautira,21,PF,1630120209,74,-17.7333,-149.15,78.82,15.26
Coahuayana Viejo,100,MX,1630120210,98,18.7333,-103.6833,72.18,5.26
Matara,100,LK,1630120210,86,5.9485,80.5353,80.28,14.12
Verkhnyaya Inta,100,RU,1630120210,92,65.9811,60.3094,43.41,20.45
Bongandanga,39,CD,1630120211,98,1.5,21.05,69.62,0.85
Norman Wells,74,CA,1630120211,62,65.282,-126.8329,63.9,5.86
Santa Cruz del Sur,100,CU,1630119969,74,20.7147,-77.9956,82.6,13.62
Mossamedes,0,AO,1630120210,88,-15.1961,12.1522,59.95,5.82
Montepuez,40,MZ,1630120212,96,-13.1256,38.9997,63.5,3.58
Adré,100,TD,1630120212,60,13.4667,22.2,77.29,3.94
Departamento de Maldonado,0,UY,1630120212,79,-34.6667,-54.9167,43.23,5.17
Guerrero Negro,2,MX,1630120213,79,27.9769,-114.0611,75.67,9.17
Kruisfontein,3,ZA,1630120213,61,-34.0033,24.7314,39.88,9.28
Half Moon Bay,1,US,1630120213,79,37.4636,-122.4286,89.42,5.75
Zharkent,100,KZ,1630120214,28,44.1628,80.0,76.8,3.98
Kavaratti,100,IN,1630120214,77,10.5669,72.642,81.91,15.05
Pascagoula,1,US,1630120129,96,30.3658,-88.5561,77.56,4.61
Nouadhibou,7,MR,1630120215,82,20.931,-17.0347,72.73,11.43
Cotonou,100,BJ,1630120153,89,6.3654,2.4183,76.57,9.6
Sédhiou,100,SN,1630120215,96,12.7081,-15.5569,74.1,3.18
Kavieng,100,PG,1630120215,77,-2.5744,150.7967,83.41,14.23
Lishu,0,CN,1630120216,61,43.3047,124.3278,70.97,15.1
Chicama,57,PE,1630120216,80,-7.8447,-79.1469,65.07,6.91
Honningsvåg,87,NO,1630120216,80,70.9821,25.9704,46.89,28.34
Karachi,75,PK,1630120216,65,24.9056,67.0822,84.02,8.05
Mmabatho,79,ZA,1630120217,53,-25.85,25.6333,48.45,15.41
Lompoc,1,US,1630120217,90,34.6391,-120.4579,74.79,4.61
Portland,13,US,1630119949,60,45.5234,-122.6762,68.32,1.01
Totolapan,100,MX,1630120217,87,18.5167,-96.1833,80.92,1.5
Mountain Home,0,US,1630120218,28,43.133,-115.6912,72.34,9.73
Balotra,94,IN,1630120218,64,25.8333,72.2333,83.07,13.56
Forsytheganj,88,BY,1630120218,91,52.6333,29.7333,56.01,3.6
Belyy Yar,0,RU,1630120219,59,53.6039,91.3903,66.09,2.24
Islamkot,99,PK,1630120219,58,24.6997,70.177,83.08,14.38
Bukachacha,9,RU,1630120220,43,52.9833,116.9167,64.33,6.76
Okhotsk,100,RU,1630120220,80,59.3833,143.3,60.51,4.21
Leningradskiy,100,RU,1630120220,89,69.3833,178.4167,33.84,9.37
Jablah,0,SY,1630120221,73,35.3614,35.9256,71.89,3.44
Palmas,0,BR,1630120221,50,-10.2128,-48.3603,80.47,2.3
Tshikapa,88,CD,1630120221,77,-6.4167,20.8,74.7,2.86
Araceli,99,PH,1630120222,73,10.5529,119.9913,84.09,10.89
Dom Pedrito,6,BR,1630120222,75,-30.9828,-54.6731,47.7,5.37
Batemans Bay,99,AU,1630120222,70,-35.7167,150.1833,59.99,2.66
Kloulklubed,52,PW,1630120223,72,7.0419,134.2556,86.5,7.25
Athabasca,65,CA,1630120223,72,54.7169,-113.2854,56.03,4.45
Tessalit,27,ML,1630120223,25,20.1986,1.0114,90.37,6.78
Palmerston,0,AU,1630120224,30,-12.486,130.9833,92.03,13.8
Aksu,12,CN,1630120224,32,41.1231,80.2644,77.43,6.8
Carnarvon,0,AU,1630120224,34,-24.8667,113.6333,73.47,16.11
Sartell,90,US,1630120224,95,45.6216,-94.2069,71.55,1.01
Fairbanks,90,US,1630120225,93,64.8378,-147.7164,44.1,3.0
Tual,100,ID,1630120225,88,-5.6667,132.75,77.95,19.69
Bereda,47,ES,1630120225,97,43.2686,-7.5406,58.75,1.86
Sisimiut,96,GL,1630120226,79,66.9395,-53.6735,41.38,3.56
Parrita,100,CR,1630120226,93,9.5201,-84.3225,82.98,2.8
Marovoay,12,MG,1630120227,65,-16.1,46.6333,66.34,6.44
Bahía de Caráquez,94,EC,1630119930,86,-0.6,-80.4167,73.58,6.49
Čaška,0,MK,1630120227,75,41.6506,21.6622,61.32,3.36
Krasnosel'kup,7,RU,1630120227,61,65.7,82.4667,44.08,16.33
Andros,0,GR,1630120228,68,37.8333,24.9333,76.41,2.84
São José da Coroa Grande,69,BR,1630120228,76,-8.8978,-35.1478,74.59,9.44
Władysławowo,100,PL,1630119977,87,54.7909,18.4009,54.93,1.34
Vostok,74,RU,1630120228,81,46.4856,135.8833,63.5,9.42
São Francisco,1,BR,1630120229,38,-15.9486,-44.8644,73.8,9.17
Keroka,5,KE,1630120229,66,-0.7758,34.9453,50.0,2.86
Rovaniemi,0,FI,1630120223,100,66.5,25.7167,42.21,6.91
Ouésso,87,CG,1630120230,95,1.6136,16.0517,71.13,2.53
Acajutla,37,SV,1630120230,87,13.5928,-89.8275,79.32,6.69
Magadan,100,RU,1630120231,93,59.5667,150.8,56.39,2.57
Vila Franca do Campo,60,PT,1630120231,86,37.7167,-25.4333,68.41,7.31
Aklavik,100,CA,1630120231,80,68.2191,-135.0107,48.13,20.8
Foki,18,RU,1630120232,74,56.693,54.3499,47.59,6.96
Esmeraldas,2,BR,1630120233,62,-19.7625,-44.3139,68.86,6.04
Angol,100,CL,1630120233,97,-37.8,-72.7167,45.88,9.57
Bakchar,18,RU,1630120234,80,57.0186,82.0711,65.89,6.73
Luena,33,AO,1630120234,39,-11.7833,19.9167,58.15,1.61
Guaporé,50,BR,1630120235,94,-28.8456,-51.8903,49.71,1.39
Langxiang,100,CN,1630120235,98,46.95,128.8833,58.28,3.6
Ivolginsk,4,RU,1630120235,63,51.7492,107.2837,60.46,2.24
Brewster,75,US,1630120236,91,41.3973,-73.6171,79.74,0.0
Cabra,0,ES,1630120236,56,37.4725,-4.4421,71.91,1.45
Hambantota,98,LK,1630120236,73,6.1241,81.1185,82.6,20.85
Te Anau,94,NZ,1630120237,87,-45.4167,167.7167,49.68,0.54
Korla,100,CN,1630120237,23,41.7597,86.1469,79.59,12.97
Lima,90,PE,1630120192,82,-12.0432,-77.0282,59.25,10.36
Belaya Gora,100,RU,1630120237,74,68.5333,146.4167,45.93,12.77
Tuatapere,97,NZ,1630120238,78,-46.1333,167.6833,50.83,3.15
Yangcun,100,CN,1630120238,72,39.3639,117.0603,78.78,5.03
Bollnäs,26,SE,1630120238,98,61.3482,16.3946,48.38,5.19
Nemuro,13,JP,1630120239,78,43.3236,145.575,69.31,11.56
Ranong,97,TH,1630120239,85,9.9658,98.6348,79.83,5.21
Makkah al Mukarramah,3,SA,1630120239,49,21.4267,39.8261,85.26,4.74
Mombetsu,49,JP,1630120239,52,44.3525,143.3525,78.76,15.08
Hirado,3,JP,1630120240,79,33.3597,129.5531,81.01,10.18
Ashdod,1,IL,1630120240,67,31.8167,34.65,82.8,3.91
Faya,97,SA,1630120240,55,18.3851,42.4509,63.12,5.17
Puerto Baquerizo Moreno,100,EC,1630120241,79,-0.9,-89.6,68.36,10.83
Richards Bay,100,ZA,1630120241,80,-28.783,32.0377,66.11,13.56
Orlik,78,RU,1630120241,50,52.5178,99.825,60.06,2.8
Cartagena del Chairá,100,CO,1630120242,99,1.3349,-74.8429,72.03,3.27
Semey,0,KZ,1630119960,48,50.4111,80.2275,66.42,2.24
Westport,64,US,1630120041,94,41.1415,-73.3579,80.74,4.09
Kaitangata,100,NZ,1630120242,80,-46.2817,169.8464,49.82,7.38
Yar-Sale,100,RU,1630120243,72,66.8333,70.8333,44.08,14.94
Arlit,29,NE,1630120243,30,18.7369,7.3853,89.83,8.39
Cedar City,1,US,1630120062,14,37.6775,-113.0619,75.4,9.22
Ambilobe,3,MG,1630120243,86,-13.2,49.05,62.1,3.4
Lábrea,81,BR,1630120244,35,-7.2586,-64.7981,82.09,0.76
